COSTO POR COBRO MP EN 3 CUOTAS ,30%,,,,,,,
COSTO POR OFRECER 6 CUOTAS ,50%,,,,,,,
COSTOS FIJOS (S/A/C/G),"$40,000.00",,,,,,,
GANANCIA 50% mas 10% iibb+manotributo total60%,1.6,,,,,,,
DOLAR,"$1,500.00",,,,,,,
,,,,,,,,
REPARACION,TIPO DE REPARACION,PRECIO DEL REPUESTO EN USD ,PRECIO DEL REPUESTO EN PESOS ,PRECIO CON 60% de ganancia ,PRECIO DE LA REPARACION CON COSTOS FIJOS,PRECIO DE LA REPARACION EN EFECTIVO O TRANSFERENCIA ,PRECIO DE LA CUOTA EN  3 PARTES,PRECIO DE LA REPARACION EN 6 CUOTAS 
Cambio de chasis iphone 14 pro,CAMBIO DE CHASIS ,$50.00,"$75,000.00","$120,000.00","$160,000.00","$160,000.00","$208,000.00","$240,000.00"
Cambio de chasis iphone 14 pro max,CAMBIO DE CHASIS ,$50.00,"$75,000.00","$120,000.00","$160,000.00","$160,000.00","$208,000.00","$240,000.00"
Cambio de chasis iphone 15 plus,CAMBIO DE CHASIS ,$40.00,"$60,000.00","$96,000.00","$136,000.00","$160,000.00","$208,000.00","$240,000.00"
Cambio de chasis iphone 15,CAMBIO DE CHASIS ,$40.00,"$60,000.00","$96,000.00","$136,000.00","$160,000.00","$208,000.00","$240,000.00"
Cambio de chasis iphone 15 pro,CAMBIO DE CHASIS ,$50.00,"$75,000.00","$120,000.00","$160,000.00","$180,000.00","$234,000.00","$270,000.00"
Cambio de chasis iphone 15 pro max,CAMBIO DE CHASIS ,$55.00,"$82,500.00","$132,000.00","$172,000.00","$180,000.00","$234,000.00","$270,000.00"
Cambio de chasis iphone 16,CAMBIO DE CHASIS ,$75.00,"$112,500.00","$180,000.00","$220,000.00","$220,000.00","$286,000.00","$330,000.00"
Cambio de chasis iphone 16 plus,CAMBIO DE CHASIS ,$75.00,"$112,500.00","$180,000.00","$220,000.00","$220,000.00","$286,000.00","$330,000.00"
Cambio de chasis iphone 16 pro,CAMBIO DE CHASIS ,$100.00,"$150,000.00","$240,000.00","$280,000.00","$280,000.00","$364,000.00","$420,000.00"
Cambio de chasis iphone 16 pro max,CAMBIO DE CHASIS ,$100.00,"$150,000.00","$240,000.00","$280,000.00","$280,000.00","$364,000.00","$420,000.00"
Cambio de sensor de proximidad iphone X,SENSOR DE PROXIMIDAD,$20.00,"$30,000.00","$48,000.00","$88,000.00","$88,000.00","$114,400.00","$132,000.00"
Cambio de sensor de proximidad iphone XR,SENSOR DE PROXIMIDAD,$15.00,"$22,500.00","$36,000.00","$76,000.00","$88,000.00","$114,400.00","$132,000.00"
Cambio de sensor de proximidad iphone XS,SENSOR DE PROXIMIDAD,$22.00,"$33,000.00","$52,800.00","$92,800.00","$92,800.00","$120,640.00","$139,200.00"
Cambio de sensor de proximidad iphone XS MAX,SENSOR DE PROXIMIDAD,$15.00,"$22,500.00","$36,000.00","$76,000.00","$92,800.00","$120,640.00","$139,200.00"
Cambio de sensor de proximidad iphone 11,SENSOR DE PROXIMIDAD,$15.00,"$22,500.00","$36,000.00","$76,000.00","$88,000.00","$114,400.00","$132,000.00"
Cambio de sensor de proximidad iphone 11 PRO,SENSOR DE PROXIMIDAD,$25.00,"$37,500.00","$60,000.00","$100,000.00","$100,000.00","$130,000.00","$150,000.00"
Cambio de sensor de proximidad iphone 11 PRO MAX,SENSOR DE PROXIMIDAD,$25.00,"$37,500.00","$60,000.00","$100,000.00","$100,000.00","$130,000.00","$150,000.00"
Cambio de sensor de proximidad iphone 12 MINI,SENSOR DE PROXIMIDAD,$25.00,"$37,500.00","$60,000.00","$100,000.00","$100,000.00","$130,000.00","$150,000.00"
Cambio de sensor de proximidad iphone 12/12 PRO,SENSOR DE PROXIMIDAD,$25.00,"$37,500.00","$60,000.00","$100,000.00","$100,000.00","$130,000.00","$150,000.00"
Cambio de sensor de proximidad iphone 12 PRO MAX,SENSOR DE PROXIMIDAD,$25.00,"$37,500.00","$60,000.00","$100,000.00","$100,000.00","$130,000.00","$150,000.00"
Cambio de sensor de proximidad iphone 13 MINI,SENSOR DE PROXIMIDAD,$15.00,"$22,500.00","$36,000.00","$76,000.00","$88,000.00","$114,400.00","$132,000.00"
Cambio de sensor de proximidad iphone 13,SENSOR DE PROXIMIDAD,$15.00,"$22,500.00","$36,000.00","$76,000.00","$88,000.00","$114,400.00","$132,000.00"
Cambio de sensor de proximidad iphone 13 PRO,SENSOR DE PROXIMIDAD,$20.00,"$30,000.00","$48,000.00","$88,000.00","$100,000.00","$130,000.00","$150,000.00"
Cambio de sensor de proximidad iphone 13 PRO MAX,SENSOR DE PROXIMIDAD,$20.00,"$30,000.00","$48,000.00","$88,000.00","$100,000.00","$130,000.00","$150,000.00"
Cambio de sensor de proximidad iphone 14,SENSOR DE PROXIMIDAD,$15.00,"$22,500.00","$36,000.00","$76,000.00","$88,000.00","$114,400.00","$132,000.00"
Cambio de sensor de proximidad iphone 14 PLUS,SENSOR DE PROXIMIDAD,$15.00,"$22,500.00","$36,000.00","$76,000.00","$100,000.00","$130,000.00","$150,000.00"
Cambio de sensor de proximidad iphone 14 PRO,SENSOR DE PROXIMIDAD,$28.00,"$42,000.00","$67,200.00","$107,200.00","$110,000.00","$143,000.00","$165,000.00"
Cambio de sensor de proximidad iphone 14 PRO MAX,SENSOR DE PROXIMIDAD,$28.00,"$42,000.00","$67,200.00","$107,200.00","$110,000.00","$143,000.00","$165,000.00"
Cambio de sensor de proximidad iphone 15,SENSOR DE PROXIMIDAD,$20.00,"$30,000.00","$48,000.00","$88,000.00","$100,000.00","$130,000.00","$150,000.00"
Cambio de sensor de proximidad iphone 15 PLUS,SENSOR DE PROXIMIDAD,$25.00,"$37,500.00","$60,000.00","$100,000.00","$110,000.00","$143,000.00","$165,000.00"
Cambio de sensor de proximidad iphone 15 PRO,SENSOR DE PROXIMIDAD,$20.00,"$30,000.00","$48,000.00","$88,000.00","$120,000.00","$156,000.00","$180,000.00"
Cambio de sensor de proximidad iphone 15 PRO MAX,SENSOR DE PROXIMIDAD,$20.00,"$30,000.00","$48,000.00","$88,000.00","$120,000.00","$156,000.00","$180,000.00"
Cambio de sensor de proximidad iphone 16,SENSOR DE PROXIMIDAD,$28.00,"$42,000.00","$67,200.00","$107,200.00","$130,000.00","$169,000.00","$195,000.00"
Cambio de sensor de proximidad iphone 16 PLUS,SENSOR DE PROXIMIDAD,$28.00,"$42,000.00","$67,200.00","$107,200.00","$130,000.00","$169,000.00","$195,000.00"
Cambio de sensor de proximidad iphone 16 PRO,SENSOR DE PROXIMIDAD,$25.00,"$37,500.00","$60,000.00","$100,000.00","$130,000.00","$169,000.00","$195,000.00"
Cambio de sensor de proximidad iphone 16 PRO MAX,SENSOR DE PROXIMIDAD,$25.00,"$37,500.00","$60,000.00","$100,000.00","$130,000.00","$169,000.00","$195,000.00"
cambio de vidrio de camara iphone X,VIDRIOS DE CAMARA,$15.00,"$22,500.00","$36,000.00","$76,000.00","$55,000.00","$71,500.00","$82,500.00"
cambio de vidrio de camara iphone XS,VIDRIOS DE CAMARA,$15.00,"$22,500.00","$36,000.00","$76,000.00","$55,000.00","$71,500.00","$82,500.00"
cambio de vidrio de camara iphone XS MAX,VIDRIOS DE CAMARA,$15.00,"$22,500.00","$36,000.00","$76,000.00","$55,000.00","$71,500.00","$82,500.00"
cambio de vidrio de camara iphone XR,VIDRIOS DE CAMARA,$15.00,"$22,500.00","$36,000.00","$76,000.00","$55,000.00","$71,500.00","$82,500.00"
cambio de vidrio de camara iphone 11,VIDRIOS DE CAMARA,$15.00,"$22,500.00","$36,000.00","$76,000.00","$55,000.00","$71,500.00","$82,500.00"
cambio de vidrio de camara iphone 11 PRO,VIDRIOS DE CAMARA,$15.00,"$22,500.00","$36,000.00","$76,000.00","$55,000.00","$71,500.00","$82,500.00"
cambio de vidrio de camara iphone 11 PRO MAX,VIDRIOS DE CAMARA,$15.00,"$22,500.00","$36,000.00","$76,000.00","$55,000.00","$71,500.00","$82,500.00"
cambio de vidrio de camara iphone 12 MINI,VIDRIOS DE CAMARA,$15.00,"$22,500.00","$36,000.00","$76,000.00","$55,000.00","$71,500.00","$82,500.00"
cambio de vidrio de camara iphone 12,VIDRIOS DE CAMARA,$15.00,"$22,500.00","$36,000.00","$76,000.00","$76,000.00","$98,800.00","$114,000.00"
cambio de vidrio de camara iphone 12 PRO,VIDRIOS DE CAMARA,$15.00,"$22,500.00","$36,000.00","$76,000.00","$76,000.00","$98,800.00","$114,000.00"
cambio de vidrio de camara iphone 12 PRO MAX,VIDRIOS DE CAMARA,$15.00,"$22,500.00","$36,000.00","$76,000.00","$76,000.00","$98,800.00","$114,000.00"
cambio de vidrio de camara iphone 13 MINI,VIDRIOS DE CAMARA,$15.00,"$22,500.00","$36,000.00","$76,000.00","$76,000.00","$98,800.00","$114,000.00"
cambio de vidrio de camara iphone 13,VIDRIOS DE CAMARA,$15.00,"$22,500.00","$36,000.00","$76,000.00","$76,000.00","$98,800.00","$114,000.00"
cambio de vidrio de camara iphone 13 PRO,VIDRIOS DE CAMARA,$15.00,"$22,500.00","$36,000.00","$76,000.00","$85,000.00","$110,500.00","$127,500.00"
cambio de vidrio de camara iphone 13 PRO MAX,VIDRIOS DE CAMARA,$15.00,"$22,500.00","$36,000.00","$76,000.00","$85,000.00","$110,500.00","$127,500.00"
cambio de vidrio de camara iphone 14,VIDRIOS DE CAMARA,$15.00,"$22,500.00","$36,000.00","$76,000.00","$76,000.00","$98,800.00","$114,000.00"
cambio de vidrio de camara iphone 14 PLUS,VIDRIOS DE CAMARA,$20.00,"$30,000.00","$48,000.00","$88,000.00","$88,000.00","$114,400.00","$132,000.00"
cambio de vidrio de camara iphone 14 PRO,VIDRIOS DE CAMARA,$20.00,"$30,000.00","$48,000.00","$88,000.00","$88,000.00","$114,400.00","$132,000.00"
cambio de vidrio de camara iphone 14 PRO MAX,VIDRIOS DE CAMARA,$20.00,"$30,000.00","$48,000.00","$88,000.00","$88,000.00","$114,400.00","$132,000.00"
cambio de vidrio de camara iphone 15,VIDRIOS DE CAMARA,$20.00,"$30,000.00","$48,000.00","$88,000.00","$88,000.00","$114,400.00","$132,000.00"
cambio de vidrio de camara iphone 15 PLUS,VIDRIOS DE CAMARA,$20.00,"$30,000.00","$48,000.00","$88,000.00","$88,000.00","$114,400.00","$132,000.00"
cambio de vidrio de camara iphone 15 PRO,VIDRIOS DE CAMARA,$20.00,"$30,000.00","$48,000.00","$88,000.00","$88,000.00","$114,400.00","$132,000.00"
cambio de vidrio de camara iphone 15 PRO MAX,VIDRIOS DE CAMARA,$20.00,"$30,000.00","$48,000.00","$88,000.00","$88,000.00","$114,400.00","$132,000.00"
cambio de vidrio de camara iphone 16,VIDRIOS DE CAMARA,$20.00,"$30,000.00","$48,000.00","$88,000.00","$88,000.00","$114,400.00","$132,000.00"
cambio de vidrio de camara iphone 16 PLUS,VIDRIOS DE CAMARA,$20.00,"$30,000.00","$48,000.00","$88,000.00","$88,000.00","$114,400.00","$132,000.00"
cambio de vidrio de camara iphone 16 PRO,VIDRIOS DE CAMARA,$20.00,"$30,000.00","$48,000.00","$88,000.00","$88,000.00","$114,400.00","$132,000.00"
cambio de vidrio de camara iphone 16 PRO MAX,VIDRIOS DE CAMARA,$20.00,"$30,000.00","$48,000.00","$88,000.00","$88,000.00","$114,400.00","$132,000.00"
Cambio de Glass iphone X/XS/XR/11,CAMBIO DE GLASS,$50.00,"$75,000.00","$120,000.00","$160,000.00","$160,000.00","$208,000.00","$240,000.00"
Cambio de Glass iphone 11 PRO,CAMBIO DE GLASS,$65.00,"$97,500.00","$156,000.00","$196,000.00","$196,000.00","$254,800.00","$294,000.00"
Cambio de Glass iphone 11 PRO MAX,CAMBIO DE GLASS,$65.00,"$97,500.00","$156,000.00","$196,000.00","$196,000.00","$254,800.00","$294,000.00"
Cambio de Glass iphone 12 MINI,CAMBIO DE GLASS,$65.00,"$97,500.00","$156,000.00","$196,000.00","$196,000.00","$254,800.00","$294,000.00"
Cambio de Glass iphone 12/12 PRO,CAMBIO DE GLASS,$65.00,"$97,500.00","$156,000.00","$196,000.00","$196,000.00","$254,800.00","$294,000.00"
Cambio de Glass iphone 12 PRO MAX,CAMBIO DE GLASS,$65.00,"$97,500.00","$156,000.00","$196,000.00","$196,000.00","$254,800.00","$294,000.00"
Cambio de Glass iphone 13 MINI,CAMBIO DE GLASS,$80.00,"$120,000.00","$192,000.00","$232,000.00","$232,000.00","$301,600.00","$348,000.00"
Cambio de Glass iphone 13,CAMBIO DE GLASS,$80.00,"$120,000.00","$192,000.00","$232,000.00","$232,000.00","$301,600.00","$348,000.00"
Cambio de Glass iphone 13 PRO,CAMBIO DE GLASS,$80.00,"$120,000.00","$192,000.00","$232,000.00","$232,000.00","$301,600.00","$348,000.00"
Cambio de Glass iphone 13 PRO MAX,CAMBIO DE GLASS,$80.00,"$120,000.00","$192,000.00","$232,000.00","$232,000.00","$301,600.00","$348,000.00"
Cambio de Glass iphone 14,CAMBIO DE GLASS,$100.00,"$150,000.00","$240,000.00","$280,000.00","$280,000.00","$364,000.00","$420,000.00"
Cambio de Glass iphone 14 PLUS,CAMBIO DE GLASS,$100.00,"$150,000.00","$240,000.00","$280,000.00","$280,000.00","$364,000.00","$420,000.00"
Cambio de Glass iphone 14 PRO,CAMBIO DE GLASS,$120.00,"$180,000.00","$288,000.00","$328,000.00","$345,000.00","$448,500.00","$517,500.00"
Cambio de Glass iphone 14 PRO MAX,CAMBIO DE GLASS,$120.00,"$180,000.00","$288,000.00","$328,000.00","$345,000.00","$448,500.00","$517,500.00"
Cambio de Glass iphone 15,CAMBIO DE GLASS,$140.00,"$210,000.00","$336,000.00","$376,000.00","$380,000.00","$494,000.00","$570,000.00"
Cambio de Glass iphone 15 PLUS,CAMBIO DE GLASS,$140.00,"$210,000.00","$336,000.00","$376,000.00","$380,000.00","$494,000.00","$570,000.00"
Cambio de Glass iphone 15 PRO,CAMBIO DE GLASS,$150.00,"$225,000.00","$360,000.00","$400,000.00","$450,000.00","$585,000.00","$675,000.00"
Cambio de Glass iphone 15 PRO MAX,CAMBIO DE GLASS,$150.00,"$225,000.00","$360,000.00","$400,000.00","$450,000.00","$585,000.00","$675,000.00"
Cambio de Glass iphone 16,CAMBIO DE GLASS,$180.00,"$270,000.00","$432,000.00","$472,000.00","$480,000.00","$624,000.00","$720,000.00"
Cambio de Glass iphone 16 PLUS,CAMBIO DE GLASS,$180.00,"$270,000.00","$432,000.00","$472,000.00","$480,000.00","$624,000.00","$720,000.00"
Cambio de Glass iphone 16 PRO,CAMBIO DE GLASS,$200.00,"$300,000.00","$480,000.00","$520,000.00","$520,000.00","$676,000.00","$780,000.00"
Cambio de Glass iphone 16 PRO MAX,CAMBIO DE GLASS,$200.00,"$300,000.00","$480,000.00","$520,000.00","$520,000.00","$676,000.00","$780,000.00"
Cambio de Glass Apple Watch serie 2,CAMBIO DE GLASS,,$0.00,$0.00,"$60,000.00","$195,000.00","$253,500.00","$292,500.00"
Cambio de Glass Apple Watch serie 3,CAMBIO DE GLASS,,$0.00,$0.00,"$60,000.00","$195,000.00","$253,500.00","$292,500.00"
Cambio de Glass Apple Watch serie 4,CAMBIO DE GLASS,,$0.00,$0.00,"$60,000.00","$195,000.00","$253,500.00","$292,500.00"
Cambio de Glass Apple Watch serie 5,CAMBIO DE GLASS,,$0.00,$0.00,"$60,000.00","$195,000.00","$253,500.00","$292,500.00"
Cambio de Glass Apple Watch serie 6,CAMBIO DE GLASS,,$0.00,$0.00,"$60,000.00","$195,000.00","$253,500.00","$292,500.00"
Cambio de Glass Apple Watch serie SE,CAMBIO DE GLASS,,$0.00,$0.00,"$60,000.00","$195,000.00","$253,500.00","$292,500.00"
Cambio de Glass Apple Watch serie 7,CAMBIO DE GLASS,,$0.00,$0.00,"$60,000.00","$195,000.00","$253,500.00","$292,500.00"
Cambio de Glass Apple Watch serie 8,CAMBIO DE GLASS,,$0.00,$0.00,"$60,000.00","$195,000.00","$253,500.00","$292,500.00"
Cambio de Glass Apple Watch serie 9,CAMBIO DE GLASS,,$0.00,$0.00,"$60,000.00","$195,000.00","$253,500.00","$292,500.00"
Cambio de Glass Apple Watch serie 10,CAMBIO DE GLASS,,$0.00,$0.00,"$60,000.00",$0.00,$0.00,$0.00
Cambio de Glass Apple Watch Ultra 1,CAMBIO DE GLASS,,$0.00,$0.00,"$60,000.00",$0.00,$0.00,$0.00
Cambio de Glass Apple Watch Ultra 2,CAMBIO DE GLASS,,$0.00,$0.00,"$60,000.00",$0.00,$0.00,$0.00
Cambio de Modulo S2 38MM,APPLE WATCH,$44.00,"$66,000.00","$105,600.00","$145,600.00","$145,600.00","$189,280.00","$218,400.00"
Cambio de Modulo S2 42MM,APPLE WATCH,$69.00,"$103,500.00","$165,600.00","$205,600.00","$210,000.00","$273,000.00","$315,000.00"
Cambio de Modulo S3 38MM,APPLE WATCH,$50.00,"$75,000.00","$120,000.00","$160,000.00","$160,000.00","$208,000.00","$240,000.00"
Cambio de Modulo S3 42MM,APPLE WATCH,$85.00,"$127,500.00","$204,000.00","$244,000.00","$244,000.00","$317,200.00","$366,000.00"
Cambio de Modulo S4 40MM,APPLE WATCH,$65.00,"$97,500.00","$156,000.00","$196,000.00","$196,000.00","$254,800.00","$294,000.00"
Cambio de Modulo S4 44MM,APPLE WATCH,$90.00,"$135,000.00","$216,000.00","$256,000.00","$256,000.00","$332,800.00","$384,000.00"
Cambio de Modulo S5/SE1 40MM,APPLE WATCH,$90.00,"$135,000.00","$216,000.00","$256,000.00","$256,000.00","$332,800.00","$384,000.00"
Cambio de Modulo S5/SE1 44MM,APPLE WATCH,$120.00,"$180,000.00","$288,000.00","$328,000.00","$328,000.00","$426,400.00","$492,000.00"
Cambio de Modulo S6 40MM,APPLE WATCH,$70.00,"$105,000.00","$168,000.00","$208,000.00","$210,000.00","$273,000.00","$315,000.00"
Cambio de Modulo S6 44MM,APPLE WATCH,$140.00,"$210,000.00","$336,000.00","$376,000.00","$376,000.00","$488,800.00","$564,000.00"
Cambio de Modulo S7 41MM,APPLE WATCH,$70.00,"$105,000.00","$168,000.00","$208,000.00","$208,000.00","$270,400.00","$312,000.00"
Cambio de Modulo S7 45MM,APPLE WATCH,$75.00,"$112,500.00","$180,000.00","$220,000.00","$220,000.00","$286,000.00","$330,000.00"
Cambio de Modulo S8 41MM,APPLE WATCH,$120.00,"$180,000.00","$288,000.00","$328,000.00","$328,000.00","$426,400.00","$492,000.00"
Cambio de Modulo S8 45MM,APPLE WATCH,$200.00,"$300,000.00","$480,000.00","$520,000.00","$520,000.00","$676,000.00","$780,000.00"
Cambio de Modulo SE2 40MM,APPLE WATCH,$90.00,"$135,000.00","$216,000.00","$256,000.00","$256,000.00","$332,800.00","$384,000.00"
Cambio de Modulo SE2 44MM,APPLE WATCH,$120.00,"$180,000.00","$288,000.00","$328,000.00","$328,000.00","$426,400.00","$492,000.00"
Cambio de Modulo S9 41MM,APPLE WATCH,$140.00,"$210,000.00","$336,000.00","$376,000.00","$376,000.00","$488,800.00","$564,000.00"
Cambio de Modulo S9 45MM,APPLE WATCH,$140.00,"$210,000.00","$336,000.00","$376,000.00","$376,000.00","$488,800.00","$564,000.00"
Cambio de Modulo S10 42MM,APPLE WATCH,$250.00,"$375,000.00","$600,000.00","$640,000.00","$640,000.00","$832,000.00","$960,000.00"
Cambio de Modulo S10 46MM,APPLE WATCH,$250.00,"$375,000.00","$600,000.00","$640,000.00","$640,000.00","$832,000.00","$960,000.00"
Cambio de Modulo ULTRA 1,APPLE WATCH,$50.00,"$75,000.00","$120,000.00","$160,000.00","$250,000.00","$325,000.00","$375,000.00"
Cambio de Modulo ULTRA 2,APPLE WATCH,$200.00,"$300,000.00","$480,000.00","$520,000.00","$550,000.00","$715,000.00","$825,000.00"
Cambio de Bateria S2 38MM,APPLE WATCH,$15.00,"$22,500.00","$36,000.00","$76,000.00","$80,000.00","$104,000.00","$120,000.00"
Cambio de Bateria  S2 42MM,APPLE WATCH,$15.00,"$22,500.00","$36,000.00","$76,000.00","$80,000.00","$104,000.00","$120,000.00"
Cambio de Bateria  S3 38MM (GPS),APPLE WATCH,$15.00,"$22,500.00","$36,000.00","$76,000.00","$80,000.00","$104,000.00","$120,000.00"
Cambio de Bateria  S3 42MM (GPS),APPLE WATCH,$15.00,"$22,500.00","$36,000.00","$76,000.00","$80,000.00","$104,000.00","$120,000.00"
Cambio de Bateria  S4 40MM,APPLE WATCH,$15.00,"$22,500.00","$36,000.00","$76,000.00","$80,000.00","$104,000.00","$120,000.00"
Cambio de Bateria  S4 44MM,APPLE WATCH,$15.00,"$22,500.00","$36,000.00","$76,000.00","$80,000.00","$104,000.00","$120,000.00"
Cambio de Bateria  S5/SE1 40MM,APPLE WATCH,$15.00,"$22,500.00","$36,000.00","$76,000.00","$80,000.00","$104,000.00","$120,000.00"
Cambio de Bateria  S5/SE1 44MM,APPLE WATCH,$15.00,"$22,500.00","$36,000.00","$76,000.00","$80,000.00","$104,000.00","$120,000.00"
Cambio de Bateria  S6 40MM,APPLE WATCH,$20.00,"$30,000.00","$48,000.00","$88,000.00","$88,000.00","$114,400.00","$132,000.00"
Cambio de Bateria  S6 44MM,APPLE WATCH,$20.00,"$30,000.00","$48,000.00","$88,000.00","$88,000.00","$114,400.00","$132,000.00"
Cambio de Bateria  S7 41MM,APPLE WATCH,$30.00,"$45,000.00","$72,000.00","$112,000.00","$120,000.00","$156,000.00","$180,000.00"
Cambio de Bateria  S7 45MM,APPLE WATCH,$30.00,"$45,000.00","$72,000.00","$112,000.00","$120,000.00","$156,000.00","$180,000.00"
Cambio de Bateria  S8 41MM,APPLE WATCH,$30.00,"$45,000.00","$72,000.00","$112,000.00","$120,000.00","$156,000.00","$180,000.00"
Cambio de Bateria  S8 45MM,APPLE WATCH,$30.00,"$45,000.00","$72,000.00","$112,000.00","$120,000.00","$156,000.00","$180,000.00"
Cambio de Bateria  ULTRA 1,APPLE WATCH,$50.00,"$75,000.00","$120,000.00","$160,000.00","$160,000.00","$208,000.00","$240,000.00"
Cambio de display IPAD 3/4,IPAD,$55.00,"$82,500.00","$132,000.00","$172,000.00","$190,000.00","$247,000.00","$285,000.00"
Cambio de display IPAD 5/6 - AIR 1,IPAD,$65.00,"$97,500.00","$156,000.00","$196,000.00","$196,000.00","$254,800.00","$294,000.00"
Cambio de display IPAD 7/8/9,IPAD,$71.00,"$106,500.00","$170,400.00","$210,400.00","$220,000.00","$286,000.00","$330,000.00"
Cambio de display IPAD 10 (WIFI),IPAD,$150.00,"$225,000.00","$360,000.00","$400,000.00","$430,000.00","$559,000.00","$645,000.00"
Cambio de display MINI 2/3,IPAD,$40.00,"$60,000.00","$96,000.00","$136,000.00","$155,000.00","$201,500.00","$232,500.00"
Cambio de modulo AIR 2,IPAD,$150.00,"$225,000.00","$360,000.00","$400,000.00","$420,000.00","$546,000.00","$630,000.00"
Cambio de Modulo AIR 3,IPAD,$120.00,"$180,000.00","$288,000.00","$328,000.00","$355,000.00","$461,500.00","$532,500.00"
Cambio de Modulo AIR 4/5 (WIFI),IPAD,$210.00,"$315,000.00","$504,000.00","$544,000.00","$544,000.00","$707,200.00","$816,000.00"
Cambio de Modulo AIR 11 2024 m2,IPAD,$210.00,"$315,000.00","$504,000.00","$544,000.00","$550,000.00","$715,000.00","$825,000.00"
Cambio de Modulo MINI 4,IPAD,$110.00,"$165,000.00","$264,000.00","$304,000.00","$320,000.00","$416,000.00","$480,000.00"
Cambio de Modulo MINI 5,IPAD,$110.00,"$165,000.00","$264,000.00","$304,000.00","$320,000.00","$416,000.00","$480,000.00"
Cambio de Modulo MINI 6,IPAD,$200.00,"$300,000.00","$480,000.00","$520,000.00","$520,000.00","$676,000.00","$780,000.00"
Cambio de Modulo PRO 9.7,IPAD,$150.00,"$225,000.00","$360,000.00","$400,000.00","$400,000.00","$520,000.00","$600,000.00"
Cambio de Modulo PRO 10.5,IPAD,$190.00,"$285,000.00","$456,000.00","$496,000.00","$496,000.00","$644,800.00","$744,000.00"
Cambio de Modulo PRO 11 1/2º,IPAD,$170.00,"$255,000.00","$408,000.00","$448,000.00","$448,000.00","$582,400.00","$672,000.00"
Cambio de Modulo PRO 11 3/4º,IPAD,$170.00,"$255,000.00","$408,000.00","$448,000.00","$448,000.00","$582,400.00","$672,000.00"
Cambio de Modulo PRO 12.9 1º,IPAD,$220.00,"$330,000.00","$528,000.00","$568,000.00","$568,000.00","$738,400.00","$852,000.00"
Cambio de Modulo PRO 12.9 2º,IPAD,$350.00,"$525,000.00","$840,000.00","$880,000.00","$880,000.00","$1,144,000.00","$1,320,000.00"
Cambio de Modulo PRO 12.9 3/4º,IPAD,$220.00,"$330,000.00","$528,000.00","$568,000.00","$568,000.00","$738,400.00","$852,000.00"
Cambio de Modulo PRO 12.9 5/6º,IPAD,$270.00,"$405,000.00","$648,000.00","$688,000.00","$688,000.00","$894,400.00","$1,032,000.00"
Cambio de TOUCH SCREEN IPAD 2,IPAD,$20.00,"$30,000.00","$48,000.00","$88,000.00","$120,000.00","$156,000.00","$180,000.00"
Cambio de TOUCH SCREEN IPAD 3,IPAD,$20.00,"$30,000.00","$48,000.00","$88,000.00","$120,000.00","$156,000.00","$180,000.00"
Cambio de TOUCH SCREEN IPAD 4,IPAD,$20.00,"$30,000.00","$48,000.00","$88,000.00","$120,000.00","$156,000.00","$180,000.00"
Cambio de TOUCH SCREEN IPAD 5,IPAD,$20.00,"$30,000.00","$48,000.00","$88,000.00","$120,000.00","$156,000.00","$180,000.00"
Cambio de TOUCH SCREEN IPAD 6,IPAD,$25.00,"$37,500.00","$60,000.00","$100,000.00","$130,000.00","$169,000.00","$195,000.00"
Cambio de TOUCH SCREEN IPAD 7/8,IPAD,$25.00,"$37,500.00","$60,000.00","$100,000.00","$130,000.00","$169,000.00","$195,000.00"
Cambio de TOUCH SCREEN IPAD 9,IPAD,$25.00,"$37,500.00","$60,000.00","$100,000.00","$130,000.00","$169,000.00","$195,000.00"
Cambio de TOUCH SCREEN IPAD 10,IPAD,$25.00,"$37,500.00","$60,000.00","$100,000.00","$130,000.00","$169,000.00","$195,000.00"
Cambio de TOUCH SCREEN MINI 1/2,IPAD,$20.00,"$30,000.00","$48,000.00","$88,000.00","$120,000.00","$156,000.00","$180,000.00"
Cambio de TOUCH SCREEN MINI 3,IPAD,$20.00,"$30,000.00","$48,000.00","$88,000.00","$120,000.00","$156,000.00","$180,000.00"
Cambio de TOUCH SCREEN AIR 1,IPAD,$25.00,"$37,500.00","$60,000.00","$100,000.00","$130,000.00","$169,000.00","$195,000.00"
Cambio de Bateria IPAD 3/4,IPAD,$60.00,"$90,000.00","$144,000.00","$184,000.00","$184,000.00","$239,200.00","$276,000.00"
Cambio de Bateria IPAD 5/6/7/8/9 - AIR 1,IPAD,$40.00,"$60,000.00","$96,000.00","$136,000.00","$190,000.00","$247,000.00","$285,000.00"
Cambio de Bateria IPAD 10 - AIR 4/5-AIR 11,IPAD,$50.00,"$75,000.00","$120,000.00","$160,000.00","$190,000.00","$247,000.00","$285,000.00"
Cambio de Bateria MINI 2/3,IPAD,$40.00,"$60,000.00","$96,000.00","$136,000.00","$190,000.00","$247,000.00","$285,000.00"
Cambio de Bateria MINI 4,IPAD,$30.00,"$45,000.00","$72,000.00","$112,000.00","$190,000.00","$247,000.00","$285,000.00"
Cambio de Bateria MINI 5,IPAD,$40.00,"$60,000.00","$96,000.00","$136,000.00","$190,000.00","$247,000.00","$285,000.00"
Cambio de Bateria MINI 6,IPAD,$40.00,"$60,000.00","$96,000.00","$136,000.00","$190,000.00","$247,000.00","$285,000.00"
