COSTO POR COBRO MP EN 3 CUOTAS ,30%,,,,,,,
COSTO POR OFRECER 6 CUOTAS ,50%,,,,,,,
COSTOS FIJOS (S/A/C/G),"$40,000.00",,,,,,,
GANANCIA 50% mas 10% iibb+manotributo total60%,1.6,,,,,,,
DOLAR,"$1,500.00",,,,,,,
,,,,,,,,
REPARACION,TIPO DE REPARACION,PRECIO DEL REPUESTO EN USD ,PRECIO DEL REPUESTO EN PESOS ,PRECIO CON 60% de ganancia ,PRECIO DE LA REPARACION CON COSTOS FIJOS,PRECIO DE LA REPARACION EN EFECTIVO O TRANSFERENCIA ,PRECIO DE LA CUOTA EN  3 PARTES,PRECIO DE LA REPARACION EN 6 CUOTAS 
Cambio de Bateria iphone 6,CAMBIO DE BATERIA,$10.00,"$15,000.00","$24,000.00","$64,000.00","$64,000.00","$83,200.00","$96,000.00"
Cambio de Bateria iphone 6 plus,CAMBIO DE BATERIA,$10.00,"$15,000.00","$24,000.00","$64,000.00","$64,000.00","$83,200.00","$96,000.00"
Cambio de Bateria iphone 6s,CAMBIO DE BATERIA,$10.00,"$15,000.00","$24,000.00","$64,000.00","$64,000.00","$83,200.00","$96,000.00"
Cambio de Bateria iphone 6s plus,CAMBIO DE BATERIA,$10.00,"$15,000.00","$24,000.00","$64,000.00","$64,000.00","$83,200.00","$96,000.00"
Cambio de Bateria iphone 7,CAMBIO DE BATERIA,$10.00,"$15,000.00","$24,000.00","$64,000.00","$64,000.00","$83,200.00","$96,000.00"
Cambio de Bateria iphone 7 plus,CAMBIO DE BATERIA,$10.00,"$15,000.00","$24,000.00","$64,000.00","$64,000.00","$83,200.00","$96,000.00"
Cambio de Bateria iphone 8,CAMBIO DE BATERIA,$10.00,"$15,000.00","$24,000.00","$64,000.00","$64,000.00","$83,200.00","$96,000.00"
Cambio de Bateria iphone 8 plus,CAMBIO DE BATERIA,$10.00,"$15,000.00","$24,000.00","$64,000.00","$64,000.00","$83,200.00","$96,000.00"
Cambio de Bateria iphone SE 2,CAMBIO DE BATERIA,$18.00,"$27,000.00","$43,200.00","$83,200.00","$83,500.00","$108,550.00","$125,250.00"
Cambio de Bateria iphone SE 3,CAMBIO DE BATERIA,$18.00,"$27,000.00","$43,200.00","$83,200.00","$83,500.00","$108,550.00","$125,250.00"
Cambio de Batería iphone x,CAMBIO DE BATERIA,$21.00,"$31,500.00","$50,400.00","$90,400.00","$90,500.00","$117,650.00","$135,750.00"
Cambio de Bateria iphone xs,CAMBIO DE BATERIA,$20.00,"$30,000.00","$48,000.00","$88,000.00","$90,500.00","$117,650.00","$135,750.00"
Cambio de Bateria iphone xs max,CAMBIO DE BATERIA,$25.00,"$37,500.00","$60,000.00","$100,000.00","$100,000.00","$130,000.00","$150,000.00"
Cambio de Bateria iphone Xr,CAMBIO DE BATERIA,$20.00,"$30,000.00","$48,000.00","$88,000.00","$90,500.00","$117,650.00","$135,750.00"
Cambio de Bateria iphone 11,CAMBIO DE BATERIA,$23.00,"$34,500.00","$55,200.00","$95,200.00","$95,500.00","$124,150.00","$143,250.00"
Cambio de Bateria iphone 11 pro,CAMBIO DE BATERIA,$28.00,"$42,000.00","$67,200.00","$107,200.00","$107,500.00","$139,750.00","$161,250.00"
Cambio de Bateria iphone 11 pro max,CAMBIO DE BATERIA,$29.00,"$43,500.00","$69,600.00","$109,600.00","$110,000.00","$143,000.00","$165,000.00"
Cambio de Bateria iphone 12 mini,CAMBIO DE BATERIA,$20.00,"$30,000.00","$48,000.00","$88,000.00","$90,500.00","$117,650.00","$135,750.00"
Cambio de Bateria iphone 12/12 pro,CAMBIO DE BATERIA,$22.00,"$33,000.00","$52,800.00","$92,800.00","$92,800.00","$120,640.00","$139,200.00"
Cambio de Bateria iphone 12 pro max,CAMBIO DE BATERIA,$31.00,"$46,500.00","$74,400.00","$114,400.00","$114,500.00","$148,850.00","$171,750.00"
Cambio de Bateria iphone 13 mini,CAMBIO DE BATERIA,$21.00,"$31,500.00","$50,400.00","$90,400.00","$90,500.00","$117,650.00","$135,750.00"
Cambio de Bateria iphone 13,CAMBIO DE BATERIA,$25.00,"$37,500.00","$60,000.00","$100,000.00","$100,000.00","$130,000.00","$150,000.00"
Cambio de Bateria iphone 13 pro,CAMBIO DE BATERIA,$28.00,"$42,000.00","$67,200.00","$107,200.00","$107,500.00","$139,750.00","$161,250.00"
Cambio de Bateria iphone 13 pro max,CAMBIO DE BATERIA,$35.00,"$52,500.00","$84,000.00","$124,000.00","$124,000.00","$161,200.00","$186,000.00"
Cambio de Bateria iphone 14 plus,CAMBIO DE BATERIA,$30.00,"$45,000.00","$72,000.00","$112,000.00","$112,000.00","$145,600.00","$168,000.00"
Cambio de Bateria iphone 14,CAMBIO DE BATERIA,$28.00,"$42,000.00","$67,200.00","$107,200.00","$107,500.00","$139,750.00","$161,250.00"
Cambio de Bateria iphone 14 pro,CAMBIO DE BATERIA,$30.00,"$45,000.00","$72,000.00","$112,000.00","$112,000.00","$145,600.00","$168,000.00"
Cambio de Bateria iphone 14 pro max,CAMBIO DE BATERIA,$38.00,"$57,000.00","$91,200.00","$131,200.00","$131,500.00","$170,950.00","$197,250.00"
Cambio de bateria iphone 15 plus,CAMBIO DE BATERIA,$32.00,"$48,000.00","$76,800.00","$116,800.00","$120,000.00","$156,000.00","$180,000.00"
Cambio de Bateria iphone 15,CAMBIO DE BATERIA,$28.00,"$42,000.00","$67,200.00","$107,200.00","$120,000.00","$156,000.00","$180,000.00"
Cambio de Bateria iphone 15 pro,CAMBIO DE BATERIA,$32.00,"$48,000.00","$76,800.00","$116,800.00","$130,000.00","$169,000.00","$195,000.00"
Cambio de Batería iphone 15 pro max,CAMBIO DE BATERIA,$38.00,"$57,000.00","$91,200.00","$131,200.00","$140,000.00","$182,000.00","$210,000.00"
Cambio de Bateria iphone 16 amp basic ,CAMBIO DE BATERIA,$27.00,"$40,500.00","$64,800.00","$104,800.00","$140,000.00","$182,000.00","$210,000.00"
Cambio de Bateria iphone 16 servis pack ,CAMBIO DE BATERIA,$95.00,"$142,500.00","$228,000.00","$268,000.00","$268,000.00","$348,400.00","$402,000.00"
